Character Name,Scene ID,Setting Name (Location),Action Summary,Anchor Quote
Peyami Bey,Ch07_Dogancay_Headquarters,Sakarya: Geyve: Doğançay Karargâhı,"Peyami Bey arrives at the headquarters near Doğançay, noticing the growth of the army and welcoming the ammunition carts.",Doğançay'dan pek uzak olmayan bir ağaçlık arasında karargâhı buldum.
Mehmet Çavuş,Ch07_Dogancay_Headquarters,Sakarya: Geyve: Doğançay Karargâhı,Mehmet Çavuş arrives at the headquarters leading the ammunition carts and discusses women fighters with Peyami Bey.,Öğleye doğru kağnılar başlarında Mehmet Çavuş sökün ettiler.
Kezban,Ch07_Dogancay_Headquarters,Sakarya: Geyve: Doğançay Karargâhı,Kezban arrives at the headquarters disguised as a young male soldier driving one of the ammunition carts.,"Kağnıları çekenler arasında dal gibi bir child vardı ki, uzaktan nazarı dikkati celb etti."
İhsan,Ch07_Ihsans_Tent,Sakarya: Geyve: Doğançay: İhsan'ın Çadırı ve Karargâhı,"İhsan drinks raki with Peyami Bey, shares his visions for a clean and prosperous post-war Anatolia, and later interacts emotionally with Kezban in his tent.","Ben, diyordu. Her zaman böyle asker ruhlu bir adamdım."
Peyami Bey,Ch07_Ihsans_Tent,Sakarya: Geyve: Doğançay: İhsan'ın Çadırı ve Karargâhı,"Peyami Bey spends time in İhsan's tent, listening to İhsan's hopes about İzmir, and later enters to pull a weeping Kezban away from İhsan's bedside.",İhsan'ın çadırının yanındaki çadırda yatıyordum.
Mehmet Çavuş,Ch07_Ihsans_Tent,Sakarya: Geyve: Doğançay: İhsan'ın Çadırı ve Karargâhı,Mehmet Çavuş enters İhsan's tent to deliver the ammunition report and later receives orders to execute a task in Geyve.,Mehmet Çavuş'la beraber ceb-hâneleri getirdiğimizi ona söylemek için çadırına girdiğimiz zaman bize uzak ve yabancı gözlerle baktı.
Kezban,Ch07_Ihsans_Tent,Sakarya: Geyve: Doğançay: İhsan'ın Çadırı ve Karargâhı,"Kezban enters İhsan's tent at night to cry and beg to stay, and on the second night, she is found clutching İhsan's boots in tears.","Zavallı çocuk İhsan'ın asker yatağının dibine çömelmiş, çizmelerini kucaklamış, yanağı meşin parçasının üstünde, gözlerinden yaşlar siyah kirpiklerinin uçlarından süzülüp topraklara düşüyor."
Peyami Bey,Ch07_Headquarters_Woods,Sakarya: Geyve: Doğançay: Karargâh Dışındaki Ağaçlık,"Peyami Bey walks in the woods at night, confronts a jealous Mehmet Çavuş, and is later shot in the arm while attempting to escort Kezban out of the camp.",Tam elini tutup küçük avucuna parayı koymaya çalışırken bir tüfeng patladı.
Mehmet Çavuş,Ch07_Headquarters_Woods,Sakarya: Geyve: Doğançay: Karargâh Dışındaki Ağaçlık,"Mehmet Çavuş waits armed in the woods, confesses his love and jealousy to Peyami, and later shoots Peyami and abducts Kezban.","Mehmet Çavuş'un gölgesi ağaçlar arasından bir kaplan gibi sıçradı, kızı belinden yakaladı."
Kezban,Ch07_Headquarters_Woods,Sakarya: Geyve: Doğançay: Karargâh Dışındaki Ağaçlık,"Kezban walks through the woods with Peyami, panics when a shot is fired, and is subsequently captured and dragged away by Mehmet Çavuş.",Kezban telâş içinde sağa sola koşuyordu.
Peyami Bey,Ch08_Plain_Near_Town,Konya: Bilinmeyen Nahiye Merkezine Yakın Ova,"Peyami Bey rides alongside İhsan across the plain, discussing Mehmet Çavuş and Kezban's mysterious disappearance.",İhsan'la atlarımız yan yana koşarak gidiyoruz. Mehmet Çavuş'la Kezban'ı konuşuyoruz.
İhsan,Ch08_Plain_Near_Town,Konya: Bilinmeyen Nahiye Merkezine Yakın Ova,"İhsan rides with Peyami, reflecting on the sad fate of Kezban.","İhsan dalgın: — Zavallı küçük Kezban, zavallı çocuk, diyor."
Beş Süvari,Ch08_Plain_Near_Town,Konya: Bilinmeyen Nahiye Merkezine Yakın Ova,The five cavalrymen accompany İhsan and Peyami as they ride to the town after a temporary detachment is placed nearby.,İhsan ihtiyaten bir müfrezeyi nahiyeye yaklaştırdıktan sonra beş süvari ve bir de benimle beraber davete gidiyor.
İhsan,Ch08_Village_Square,Konya: Unidentified Subdistrict: Köyün Önündeki Yeşil Meydan,İhsan leaps across the deep ditch on his horse to reach the green village square.,"Yeşil meydanı geçmek için önündeki oldukça derin ve uzun hendekten İhsan'ın atı kanatlı gibi uçtu, geçti."
Peyami Bey,Ch08_Village_Square,Konya: Unidentified Subdistrict: Köyün Önündeki Yeşil Meydan,Peyami Bey follows İhsan across the ditch into the village square.,Sonra ben ve süvariler...
Beş Süvari,Ch08_Village_Square,Konya: Unidentified Subdistrict: Köyün Önündeki Yeşil Meydan,The escort cavalrymen follow İhsan across the deep ditch to enter the village square.,Sonra ben ve süvariler...
İhsan,Ch08_Ruined_Mill,Konya: Sarılar: Harap Değirmen Binası,İhsan quickly turns his horse and holds his ground as an angry mob suddenly rushes out from the ruined mill to attack them.,"yeşillikte on adım ilerlemedik, solda harap ve boş duran ve bir değirmen binasından bir küme insan fırlıyor ve arkamızdan koşuyor, İhsan zemberekli gibi atını çeviriyor"
Peyami Bey,Ch08_Ruined_Mill,Konya: Sarılar: Harap Değirmen Binası,"Peyami Bey witnesses the sudden, chaotic ambush as the crowd rushes out from the ruined mill.",solda harap ve boş duran ve bir değirmen binasından bir küme insan fırlıyor ve arkamızdan koşuyor
Hendeğe Düşen İki Süvari,Ch08_Ruined_Mill,Konya: Sarılar: Harap Değirmen Binası,Two of the cavalrymen fall into the deep ditch behind İhsan and Peyami during the sudden assault.,iki süvarinin hendeğe atıldığını görüyorum ve arkamızda korkunç ayak sesleri var;
İhsan,Ch08_Village_Street,Konya: Unnamed Village: Köy Sokağı,İhsan is dragged through the village street in heavy chains by the mutinous crowd.,ortada zincirlerini sallayarak iki neferle beraber İhsan'ı sürükleyip götürüyorlar.
Peyami Bey,Ch08_Village_Street,Konya: Unnamed Village: Köy Sokağı,"Peyami Bey is squeezed next to a stationary carriage in the street, listening to the conversations of the villagers around him.","Ben arabanın yanında sıkıştım, kaldım; yine yanımda konuşuyorlar:"
Araba Yanında Konuşan Birinci Köylü,Ch08_Village_Street,Konya: Unnamed Village: Köy Sokağı,The first villager standing near the carriage asks why the rebels are keeping the captured commander alive.,--- Herifi niçin öldürmüyorlar?
Araba Yanında Konuşan İkinci Köylü,Ch08_Village_Street,Konya: Unnamed Village: Köy Sokağı,The second villager suggests that they are holding the prisoners because a pasha from Ankara is reportedly coming.,"--- Ankara'dan bir paşa geliyormuş diyorlar, acaba onun için bunları rehin mi tutuyorlar?"
İhsan,Ch08_Town_Government_House,Konya: Unnamed Sub-district: Nahiye Hükümet Konağı ve Hapishane,"İhsan stands bleeding but proud behind the prison bars of the government house, facing his captors with calm dignity.",Demir parmaklığın arkasında başından sızan kanlarla İhsan ayakta duruyor.
Mehmet Çavuş,Ch08_Town_Government_House,Konya: Unnamed Sub-district: Nahiye Hükümet Konağı ve Hapishane,Mehmet Çavuş incites the hesitant villagers outside the cell to break the prison door and kill İhsan.,"Parmaklığın bu tarafında ihtirasla, nefretle, müstekrih bir takallüsle Mehmet Çavuş, beş on kişiye mahbesin kapısını kırıp İhsan'ın işini tamamlamaya teşvik ediyor."
Peyami Bey,Ch08_Town_Government_House,Konya: Unnamed Sub-district: Nahiye Hükümet Konağı ve Hapishane,"Peyami Bey gazes in awe at İhsan's majestic, merciful expression behind the prison bars, realizing the depth of his character.","Ben ışığa konan kelebek gibi, gözlerim ve gözlerimle beraber kalbim İhsan'a yapışmış bakıyorum."
İhsan,Ch08_Ihsans_Tent,Konya: İhsan'ın Çadırı,"İhsan sits with his head bandaged, listening to the officers, and later weeps on Peyami's bed, pleading with him not to tell Ayşe about the incident.","Kendi ölümüne telâşsız gözlerle bakan İhsan, hainleri gözünü kırpmadan öldüren İhsan, yatağımın üstünden başını ellerinin içine aldı, birdenbire bir çocuk gibi ağladı."
Peyami Bey,Ch08_Ihsans_Tent,Konya: İhsan'ın Çadırı,"Peyami Bey recovers from his fever in bed, listening to the story of the rescue, and later promises İhsan under oath to keep the event a secret from Ayşe.",Nahiye merkezini İhsan te'dîbe gittiği zaman ben yatağımda kaldım.
Muhsin Bey,Ch08_Ihsans_Tent,Konya: İhsan'ın Çadırı,Muhsin Bey tells the story of how the young Circassian-clad messenger arrived to warn them about the plot against İhsan.,"Çadırda İhsan, başında sargısı ile bir şey olmamış gibi zâbitleriyle konuşuyor ve Muhsin Bey anlatıyor:"
Nöbetçi,Ch08_Ihsans_Tent,Konya: İhsan'ın Çadırı,The sentry reports how the exhausted child had traveled for six hours to warn them of Mehmet Çavuş's treacherous plans.,"Nöbetçi de bir mahkeme huzurunda gibi geldi, anlattı."
İki Sarıklı İhtiyar,Ch08_Ihsans_Tent,Konya: İhsan'ın Çadırı,The two turbaned elders visit the camp before the incident to pledge loyalty and invite İhsan to their village.,gelen iki sarıklı ihtiyarla üç köylü ağa İhsan'a muhabbet ve emniyet telkin etmiş.
Üç Köy Lideri,Ch08_Ihsans_Tent,Konya: İhsan'ın Çadırı,The three village leaders accompany the elders to pledge loyalty and promise safety if İhsan visits them.,gelen iki sarıklı ihtiyarla üç köylü ağa İhsan'a muhabbet ve emniyet telkin etmiş.
Muhsin Bey,Ch08_General_Tent,Konya: Unnamed Subdistrict: İhsan's Tent,"Muhsin Bey receives the warning from a young, shivering Circassian-dressed child who was brought to him.","On beş, on altı yaşında kadar Çerkes kostümlü ince, güzel bir çocuk 'Zâbit, zâbit!' diye bağırıyormuş. Bana getirdiler."
Çerkes Kıyafetli Çocuk,Ch08_General_Tent,Konya: Unnamed Subdistrict: İhsan's Tent,"The child, shivering and barely alive, is brought to Muhsin Bey's tent and desperately warns them that İhsan has been captured.","Bana getirdiler. Yarı ölü gibi idi. Dişleri çarpıyor, çeneleri kısılıyordu. Hamza Bey çetesindenmiş, 'İhsan Bey'i tuttular, öldürüyorlar, yetişin!' diye bağırıyordu."
Peyami Bey,Ch09_Cebeci_Hospital,Ankara: Cebeci: Cebeci Hastanesi,Peyami Bey contemplates his physical and mental state at Cebeci Hospital ahead of his scheduled surgery.,"Bu sabah doktor geldi. Yanımda uzun oturdu, konuştu. Bu haftanın sonunda ameliyat muhakkak."
Peyami Bey,Ch09_Eskisehir_Street,Eskişehir: Merkez: Eskişehir'de Bir Cadde,"Peyami Bey walks down the busy, dusty street in Eskişehir, feeling a deep, childlike excitement as military troops pass by.","Caddeyi bir türlü geçemiyorum. Asker geçiyor, sıcak rüzgârlarla savrulan tozlar bu uzun müteharrik insan hattıyla karşıdaki binaları bile örtmüş."
Peyami Bey,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"Peyami Bey arrives at the Eskişehir hospital and meets with Ayşe, asking her about Cemal and İhsan.","Ayşe'yi beyaz önlüğü, siyah baş örtüsüyle hastahane kapısında buldum. Askerlere gözü dalmış, bir şey görmüyordu."
Ayşe,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,Ayşe stands at the hospital gates watching the incoming soldiers and warmly welcomes Peyami Bey while expressing concern over his wounded arm.,"Sen misin Peyami? İzmir yolundakiler çoğaldı. Bak, artık askerimiz de var. Koluna ne oldu? Nerede yaralandın?"
Peyami Bey,Ch09_Madam_Tadias_Hotel,Eskişehir: Madam Tadia'nın Oteli,"Peyami Bey dines with Ayşe, Cemal, and Haşmet Bey in a corner of Madam Tadia's hotel salon, observing their shared camaraderie.","Gece, Tadia'nın salonunun köşesinde yemek yiyoruz."
Ayşe,Ch09_Madam_Tadias_Hotel,Eskişehir: Madam Tadia'nın Oteli,"Ayşe provides comfort and counseling during dinner, advising Cemal to talk directly to the Commander.","Sen Kumandan'a git Cemal, diyordu. Geçen gün geldi, hastahaneyi gezdi. Bunları tamamen iyi anlayan, iyi ve mert bir yüzü var."
Binbaşı Cemal,Ch09_Madam_Tadias_Hotel,Eskişehir: Madam Tadia'nın Oteli,"Binbaşı Cemal dines with his close friends, sharing his sorrow about the comrades he saw executed in a Greek prison and expressing his anxiety regarding the fate of volunteer soldiers.",Cemal eskisi gibi canlı selâm veriyor. Eski günler gibi kolumu koparacak gibi sıkıyor ve yanaklarımdan bir kardeş samimiyeti ile öpüyor.
Miralay Haşmet Bey,Ch09_Madam_Tadias_Hotel,Eskişehir: Madam Tadia'nın Oteli,"Miralay Haşmet Bey joins the dining party with dynamic, cheerful energy, greeting Ayşe and playfully teasing Peyami about his arm wound.","Tam o sırada dışarıda bir mahmuz şakırtısı, kapı açılıyor, Haşmet Bey elinde kamçısı giriyor"
Peyami Bey,Ch09_Ankara_Defense_Office,Ankara: Ulus: Müdâfaa-i Milliyye Dairesi,"Peyami Bey works endless hours, buried under stacks of paperwork at the Ministry of Defense in Ankara.","Beni derhal Ankara'ya, Müdâfaa-i Milliyye'ye tayin ettiler. Masadan masaya, odadan odaya gidiş geliş. Kâğıt, kâğıt, kâğıt."
Peyami Bey,Ch09_Inebolu_Coast,Kastamonu: İnebolu: İnebolu Sahili,Peyami Bey travels to İnebolu on behalf of the Ministry of Defense and spends time conducting intelligence operations along the coast.,Ben bu aralık Müdâfaa-i Milliyye'nin bir işi için İnebolu'ya gittim. Biraz sahilde istihbaratta kaldım.
Kocaman Kafalı Esmer Nefer,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"The large-headed, dark-skinned soldier complains about his wounded leg and asks the medical orderly to fix it.","Kocaman kafalı esmer bir nefer sargıda olan bacağından şikâyet etti, ""Zıkın, zıkın şu bacağımı bir onar!"" diyordu."
Sıhhiye Neferi,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"The compassionate health officer cradles and adjusts the complaining soldier with maternal tenderness, asking how he was injured.","Sıhhiye neferi hakikaten müşfik bir mahlûk. Harp, yara onun şefkati ile beraber biraz da gıbtasını tahrik ediyor."
Aslan Başlı Esmer Çavuş,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"The lion-like sergeant lies severely injured in the ward, continuously crying out for water and repeatedly whispering Hatice's name in his delirium.","Su vermek için kaç defa başını kaldırdım, her defasında ""Haticem, Haticem!"" diyor."
Hüseyin Çavuş,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"Hüseyin Çavuş weeps in his hospital bed after being deeply moved by the patriotic songs of the passing troops, which remind him of a fallen comrade from Metris Tepe.",Hüseyin Çavuş yatağının içinde çocuk gibi büzülmüş ağlıyordu.
İhsan,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"İhsan receives medical care at the hospital, under the direct supervision of Ayşe who nurses him during his recovery.",İhsan'ın yaralandığını ve benim kendisine baktığımı tabii biliyorsun.
Doktor,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"The operating doctor, covered in sweat and blood, eagerly calls out to Ayşe for assistance during a chaotic influx of heavily wounded soldiers.","Merdiven başında doktoru gördüm. Beyaz gömleği, hatta beyaz takkesi kan içinde, alnından ter taneleri akıp duruyor, beni görünce haykırdı:"
Topçu Neferi,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"A wounded artilleryman cries out in pain and confusion, asking why he was left under the scorching sun.","Yüzünün yukarı kısmı tamamen morarmış, çürümüş, başında beyaz bir sargı var, ayakları ihtilâç içinde, çocuk gibi bağırıyor:"
Münhemik Zabit,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,The dying officer silently attempts to communicate with Ayşe using his lips before passing away.,"Gözlerinde anlamayan bir neferin verdiği ye'sle daha acı, daha münhemik anlatmaya çalışıyor, fakat dudaklarında yalnız bir makine hareketi görülüyordu."
Kocaman Çocuk Yüzlü Nefer,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"The young soldier bursts into tears of grief over the loss of his close friend, whom he had promised to protect.",Kocaman çocuk yüzlü bir nefer birdenbire hıçkırarak ağlamaya başladı:
Sivaslı Nefer,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"The Sivaslı soldier talks to Ayşe about his long military service, his beloved daughter Kevser, and his desire to recover in a hospital with caring nurses.",Sivaslı olduğunu ve sekiz yaşında Kevser isminde kızını üç çocuğu arasında en çok sevdiğini söyledi.
Ankaralı Nefer,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"Delirious with fever, the Ankaralı soldier attempts to escape and desperately begs to be sent back to Ankara.",zavallının beyni artık kendinin değildi bu Ankaralı bir neferdi:
Zavallı Genç Kadın Hizmetçiler,Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,"The young female servants cry against the hospital walls, completely overwhelmed by the constant grief and suffering.","Zavallı genç kadın hizmetçiler bu şeylerle asapları tamamen gevşemiş, başlarını duvara dayamış, ağlaşıyorlardı."
Ayşe,Ch09_Road_to_Hospital,Eskişehir: Merkez: Hastaneye Giden Yol,"Ayşe crawls away from the hospital in physical and mental exhaustion, collapsing by a wall to weep and pray.","Hastahanenin kapısından biraz öteye sürünerek yürüdüm. Hep evlerin duvarlarına dayanarak gidiyordum. Sonra bir köşede durdum, çömeldim."
Miralay Haşmet Bey,Ch09_Road_to_Hospital,Eskişehir: Merkez: Hastaneye Giden Yol,Miralay Haşmet Bey finds Ayşe near the hospital and comforts her with promises of returning to the front lines and taking her with them.,"Bu Haşmet Bey'di. Hemen ayağa kalktım, ona doğru yürüdüm. İki ellerimi birden tuttu, sıktı."
Ayşe,Ch09_Train_Compartment,Ankara: Polatlı: Tren Kompartımanı,"Ayşe travels in an open wagon at night with the wounded, continuing their quiet and comforting conversations as they head toward Polatlı.",Gece yarısından sonra açık bir vagonda yaralılarla Polatlı'ya geldim.
Peyami Bey,Ch10_Mobile_Hospital,Ankara: Polatlı: Seyyar Hastane,Peyami Bey remembers a painful moment in the mobile hospital when Haşmet Bey suggested burying his severed legs in the Gökçepınar Cemetery.,"Sakarya'nın ötesinde bacaklarımla gövdemi top ayırdığı günlerde, Ayşe'siz ve boş seyyarda yatarken Haşmet Bey kulağıma eğildi: --- Senin bacaklarını Gökçepınar Mezarlığı'na gömdüreyim, dedi"
Miralay Haşmet Bey,Ch10_Mobile_Hospital,Ankara: Polatlı: Seyyar Hastane,Haşmet Bey leans over the wounded Peyami in the hospital and offers to arrange the burial of his amputated legs in Gökçepınar.,"Sakarya'nın ötesinde bacaklarımla gövdemi top ayırdığı günlerde, Ayşe'siz ve boş seyyarda yatarken Haşmet Bey kulağıma eğildi: --- Senin bacaklarını Gökçepınar Mezarlığı'na gömdüreyim, dedi"
Peyami Bey,Ch10_Ankara_Defense_Office,Ankara: Ulus: Müdafaa-i Milliye Dairesi,Peyami Bey desperately seeks a path to the front lines and is ultimately summoned by his chief to be assigned as a translator and photographer.,Müdâfaa-i Milliyye'den sarhoş gibi çıktım.
Müdafaa-i Milliye Amiri,Ch10_Ankara_Defense_Office,Ankara: Ulus: Müdafaa-i Milliye Dairesi,"The chief summons Peyami Bey, asking about his Greek translation and photography skills before assigning him to the Western Front.","Bu işkencemin en fazla olduğu bir gün beni, bizim âmir birdenbire çağırdı. Rumca bildiğimi, fotoğrafi yaptığımı duymuş olduğunu söyledi."
Peyami Bey,Ch10_Train_Compartment,Ankara: Polatlı: Tren Kompartımanı,Peyami Bey travels quietly towards the front line in a compartment filled with quiet soldiers and officers.,"Benimle beraber kompartımanda bir zâbit vekili, üç muvazzaf zâbit vardı."
Üç Muvazzaf Subay,Ch10_Train_Compartment,Ankara: Polatlı: Tren Kompartımanı,Three active-duty officers travel silently alongside Peyami in the train compartment heading toward the front.,"Benimle beraber kompartımanda bir zâbit vekili, üç muvazzaf zâbit vardı."
Peyami Bey,Ch10_Last_Station,Ankara: Polatlı: Son İstasyon,"Peyami Bey arrives at the final station under the bright moonlight, observing the quiet unloading of animals and ammunition.",En iyi hatırladığım şey mehtabın parlak olması ve bu ışığın içinde hâkî bir insan kitlesinin vagonlardan hayvan ve ceb-hâne indirişi oldu.
Atlı Zabit,Ch10_Last_Station,Ankara: Polatlı: Son İstasyon,"The mounted officer at the station issues sharp, heavy commands to direct his departing troops.",İstasyonun arkasında iki süvari ile bir atlı zâbit duruyordu. ...'inci Fırka'nın hücum tabur kumandanıymış.
İki Süvari,Ch10_Last_Station,Ankara: Polatlı: Son İstasyon,Two horsemen stand next to the mounted officer behind the station as the troops prepare to move.,İstasyonun arkasında iki süvari ile bir atlı zâbit duruyordu.
Zabit Arkadaşlar,Ch10_Last_Station,Ankara: Polatlı: Son İstasyon,"The officer companions secure horses and set off with Peyami into the silent, unknown wilderness.",Ben karargâha gidecek zâbit arkadaşlarla kendime bir hayvan buldum.
Peyami Bey,Ch10_Mill_Race,Ankara: Polatlı: Değirmen Harkı,"Peyami travels past a white-foaming mill race at night, feeling his individual identity dissolve into the military crowd.",Biraz sonra boşluktan boşluğa akar gibi beyaz ve berrak köpüren bir değirmen harkına yaklaştık.
Zihni Efendi,Ch10_Mill_Race,Ankara: Polatlı: Değirmen Harkı,"Zihni Efendi, a young mülazim, travels silently in the dark next to Peyami as they approach the mill race.","Benim gideceğim şubeden Zihni Efendi isminde zayıf, Rumeli telaffuzlu, çekik gözlü çevik ve mert bir genç mülazım var. Ona sokuldum."
Peyami Bey,Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),"Peyami Bey works diligently at the headquarters, translating newspapers and preparing daily orders through busy, sleepless nights.","gündüzleri Rizospastis ve Katimerini'nin makaleleri üstünde çalıştıktan sonra geceleri bizim baş âmir beni de yıldırım kuvvetiyle başımızı döndürerek, dönen harb makinesi içinde çalıştırıyor"
Zihni Efendi,Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),"Zihni Efendi shares a tent with Peyami, relates his tense experiences presenting papers directly to the Commander-in-Chief, and later wakes Peyami up for their departure.","Zihni Efendi beni zorla uyandırıyor: --- Kalk Peyami Efendi, gidiyoruz."
Nöbetçi,Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),Two sentries stand proud and motionless outside the headquarters building under the red light of the campaign flag.,önündeki iki nöbetçi karargâh flamasının kızıl ziyâsı altında bana Yeniçeri müzesinin iki modeli gibi sabit ve vakur göründüler.
Şube Başamiri,Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),The branch chief keeps Peyami working intensely into the night on daily reports and operations.,"geceleri bizim baş âmir beni de yıldırım kuvvetiyle başımızı döndürerek, dönen harb makinesi içinde çalıştırıyor"
Başkumandan,Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),"The Commander-in-Chief stays awake all night in his illuminated room, studying maps and directing the Sakarya campaign.","Başkumandan'ın hiç uyumadığını söylüyorlar. Dairesinde daima aynı parlak ışık, aynı gölgelerde hareket."
Erkan-ı Harp Reisi,Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),"The Chief of Staff works continuously throughout the night, speaking with commanders on the phone.","Erkânıharp Reisi'nin nazik, biraz ince sesini sabaha kadar kumandanlarla telefonda konuşurken duyuyorum"
Genç Yüzbaşılar ve Binbaşılar,Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),The young captains and majors work tirelessly around the operations table with unshakable faith.,"Harekâtta uzun bir masa etrafında hiç kalkmayan bir genç yüzbaşı ve binbaşı dizisi var ki, onların hiç gölgelenmeyen imanlı genç yüzlerini çok seviyorum."
İsmet Paşa,Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),"İsmet Paşa quietly gazes into the distance as artillery rumbles, studying maps and discussing tactics with the Commander-in-Chief.","esmer ışıkta İsmet Paşa'nın sakin uzaklara bakan başını görüyorum, bazan Başkumandan da orada."
Peyami'nin Neferi,Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),Salim prepares and delivers coffee to Peyami on the morning of their headquarters' relocation.,"--- Salim, iki kahve! --- İletiyom efendim."
Peyami Bey,Ch10_Drivers_Tent,Ankara: Polatlı: Şoförler Çadırı,"Peyami lives in a tent next to the drivers, observing their cheerful attitudes and listening to them read popular romantic novels.","Çadırıma komşu olan bir çadır var; şoförlerle meskûn. Bu küçük, çamur evler, namütenahi çadırlar arasında onların çadırı en şahsiyeti olan yerdir."
Sürücüler,Ch10_Drivers_Tent,Ankara: Polatlı: Şoförler Çadırı,"The drivers read romantic novels, sing, and maintain a lively, humorous spirit in their tent next to Peyami's.",Şoförler uyumadıkları ve kumandan taşımadıkları zamanlar Xavier de Montépin'in romanını okuyorlar.
Peyami'nin Neferi,Ch10_Drivers_Tent,Ankara: Polatlı: Şoförler Çadırı,"Salim listens to the lively drivers in the neighboring tent, reading the weather and guessing the status of the war from their mood.",Neferim Salim de aynı benim gibi onları dinliyor. Onun ruhu benden fazla havadan iyi ve kötü haberleri seziyor.
Peyami Bey,Ch11_Village_Entrance,Ankara: Polatlı: Tatar Köyü,Peyami Bey arrives at the entrance of the village on his horse and asks the sentry for the location of the Chief of Staff.,Köyün methalinde nöbetçiye Erkânıharp Reisi'nin yerini sordum.
Nöbetçi,Ch11_Village_Entrance,Ankara: Polatlı: Tatar Köyü,The sentry at the entrance of the village directs Peyami Bey to the Chief of Staff.,"""Doğru git, sağa sap,"" dedi."
Tatar Kadın,Ch11_Tatar_Village,Ankara: Polatlı: Tatar Köyü,A Tatar woman is seen walking out of a stable with a milk bucket and her child.,"Baş örtüsünü arkasına atmış bir Tatar kadın, bir elinde süt kovası, bir elinde küçük bir mahlûk, bir ahırdan çıkıyordu."
Tatar Kadınının Elindeki Küçük Mahluk,Ch11_Tatar_Village,Ankara: Polatlı: Tatar Köyü,The tiny child is carried by the Tatar woman as she emerges from the barn.,"Baş örtüsünü arkasına atmış bir Tatar kadın, bir elinde süt kovası, bir elinde küçük bir mahlûk, bir ahırdan çıkıyordu."
Peyami Bey,Ch11_Tatar_Village,Ankara: Polatlı: Tatar Köyü,Peyami Bey rides through the Tatar village and calls out to the post standing near a brightly lit house.,"Seslendim: — Posta, Erkânıharp Reisi nerede?"
Posta,Ch11_Tatar_Village,Ankara: Polatlı: Tatar Köyü,"The guard on duty answers Peyami Bey, pointing out the direction to find the Chief of Staff.",— Şu yandan efendim.
İhsan,Ch11_Ihsans_Village_Room,Not Found: İhsan'ın Köydeki Odası,İhsan works at a wooden desk inside his cold room wearing his overcoat.,İhsan'ı küçük köy odasında bir tahta masaya eğilmiş buldum. Arkasında paltosu çalışıyordu.
Peyami Bey,Ch11_Ihsans_Village_Room,Not Found: İhsan'ın Köydeki Odası,Peyami Bey enters İhsan's small room to report for duty as an intelligence officer.,Kolordu emrine gönderilen Garp Cephesi istihbaratı mülhaklarından Peyami.
İhsan,Ch11_Mountain_Path,Ankara: Polatlı: Dağ Yolu,İhsan suggests to Peyami that they walk up the mountain path toward the observation post.,"""Zaten yukarıya, tarassuda kadar gitmek lâzım, yolda konuşuruz."""
Peyami Bey,Ch11_Mountain_Path,Ankara: Polatlı: Dağ Yolu,"Peyami Bey silently accompanies İhsan as they climb higher into the mountain, waiting for him to speak.",Ben susuyor ve bekliyordum.
Gözetleme Dürbünü Siperindeki İki Haki Gölge,Ch11_Observation_Trench,Ankara: Polatlı: Tepe Üstündeki Gözetleme Siperi,Two soldiers stand as silhouettes inside the deep observation trench with their telescope.,Önümüzdeki tarassut dürbününün derin siperinde iki hâkî gölge ayakta duruyordu.
İhsan,Ch11_Observation_Trench,Ankara: Polatlı: Tepe Üstündeki Gözetleme Siperi,İhsan jumps into the trench to observe enemy coordinates and speaks with other units over the phone.,O dürbünle karşıki sıra dağlarda düşman harekâtını tarassut ederken ben oturdum.
