Name,Ethnicity,Political Stance,Affiliation Quotes,Importance Rank,Description,literary_analysis
Mustafa,Turk,Nationalist,Seninle çalışan bir Mustafa vardır. Sarılar'dan kardeşi Kezban ceb-hâne arabalarına takılmış buraya gelmiş,1,Mustafa is Kezban's brother and works under Mehmet Çavuş's command.,"Based on the provided data, Mustafa's exact narrative function in Ateşten Gömlek cannot be determined."
Adsız Kurmay Subay,Turk,Nationalist,Ayakta bir zâbitle ceb-hânenin tevziini ve ileri sevkini konuşuyordu.,1,Adsız Kurmay Subay is a military officer who coordinates the transport of ammunition with Commander İhsan.,"Adsız Kurmay Subay represents an unnamed, generic military staff officer. Their narrative function is to provide background presence without individual characterization or specific plot contribution."
Tahsin Bey,Turk,Nationalist,ve kuvvetler Tahsin Bey'in kumandasında köye girecek.,1,Tahsin Bey is a nationalist military officer who remains in charge of the main military force near the sub-district.,The provided data offers no information to determine Tahsin Bey's narrative function in *Ateşten Gömlek*.
Hamza Bey,Turk,Ottoman loyalist,"Mehmet Çavuş'un da Türk-Çerkes karışık, hilâfet ordusu namına icra-yı şekavet eden Hamza Bey çetesine iltihak ettiği söyleniyor.",1,Hamza Bey is the leader of a mixed Turkish-Circassian gang conducting rebel activities on behalf of the Caliphate forces.,"Based on the provided data, Hamza Bey's narrative function cannot be determined. No information is available regarding his role or actions."
Hendeğe Düşen İki Süvari,Turk,Nationalist,iki süvarinin hendeğe atıldığını görüyorum,1,Hendeğe Düşen İki Süvari are two nationalist escorts who are immediately overwhelmed and thrown into a ditch by the village mob during an ambush.,"These anonymous figures function as an illustrative detail within a combat scene. They highlight the immediate dangers, chaos, and unforgiving realities of the battlefield, contributing to the narrative's realism."
Kalabalıkta Konuşan Birinci Köylü,Turk,Nationalist,Arslan delikanlı be! Bizim Çanakkale'de zâbitimizdi.,1,"An unnamed villager who speaks favorably of İhsan, remembering him as a heroic officer from the Battle of Gallipoli.",Initiates the general populace's spoken sentiment.
Kalabalıkta Konuşan İkinci Köylü,Turk,Apolitical/unclear,"O Mehmet Çavuş yok mu, hep yaptıran o.",1,Kalabalıkta Konuşan İkinci Köylü is a villager who whispers in the crowd that Mehmet Çavuş is the true instigator of the village's violent behavior.,"This character functions as an unnamed, undifferentiated background presence within a crowd, contributing to the collective voice without providing specific dialogue or actions."
Kalabalıkta Konuşan Üçüncü Köylü,Turk,Apolitical/unclear,Bizim köylü de eşek gibi be!,1,Kalabalıkta Konuşan Üçüncü Köylü is a frustrated villager who complains about the sheer stupidity and gullibility of the other villagers.,Provides an undifferentiated voice as part of a crowd.
Komutanı Soran Köylü,Turk,Apolitical/unclear,Kumandanı nidecekler?,1,"A curious villager in the crowd, wondering what fate awaits the captured commander.",This character's narrative function is to elicit information or reveal the commander's character through questioning.
Hapishane Hakkında Cevap Veren Köylü,Turk,Apolitical/unclear,Mahpusa götürecekler.,1,A villager who answers that the captured commander is being transferred to the local prison.,This character's narrative function is to provide information about the prison to another character.
Araba Yanında Konuşan Birinci Köylü,Turk,Apolitical/unclear,Herifi niçin öldürmüyorlar?,1,A villager waiting near a cart who wonders why the rebels have not immediately executed İhsan.,"This character's function is to be the initial, unnamed peasant voice speaking by a cart, thereby establishing immediate scene context and contributing to the local atmosphere through brief, unspecified dialogue."
Araba Yanında Konuşan İkinci Köylü,Turk,Apolitical/unclear,Ne biyim ben.,1,A villager near the cart who briefly states he has no idea why İhsan is kept alive.,The provided data offers no information to determine this character's narrative function.
Ankara'daki Paşadan Bahseden Köylü,Turk,Apolitical/unclear,"Ankara'dan bir paşa geliyormuş diyorlar, acaba onun için bunları rehin mi tutuyorlar?",1,"A villager who speculates that nationalist prisoners are held as hostages, influenced by rumors of an arriving Pasha from Ankara.","The villager's function is to introduce the existence of a Pasha in Ankara, establishing a critical political and geographical reference point for the narrative's setting."
Ankara'daki Paşa,Turk,Nationalist,"Ankara'dan bir paşa geliyormuş diyorlar, acaba onun için bunları rehin mi tutuyorlar?",1,"Ankara'daki Paşa is a rumored nationalist military general coming from Ankara, mentioned by the villagers.","""Ankara'daki Paşa"" symbolizes the national authority and leadership in Ankara, representing the cause of the War of Independence."
Nahiye Müdürü,Turk,Apolitical/unclear,"Nahiye müdürünü, jandarmaları boğazlamışlar da bu pis, bıyıksız oğlanı ne bırakıyorlar?",1,"Nahiye Müdürü was the local sub-district manager, slaughtered by the rebellious mob prior to İhsan's capture.","Based on the provided data, the narrative function of Nahiye Müdürü cannot be determined."
Jandarmalar,Turk,Apolitical/unclear,"Nahiye müdürünü, jandarmaları boğazlamışlar da bu pis, bıyıksız oğlanı ne bırakıyorlar?",1,Local law enforcement officers murdered by rebellious villagers.,Jandarmalar enforce state authority and order.
Üç Ölü Asker,Turk,Nationalist,Bizim üç neferin cesedinin gömüldüğü yerde Mehmet Çavuş'u astık.,1,"Three nationalist soldiers killed during an ambush, near whose graves İhsan later executes Mehmet Çavuş.",They represent the Turkish War of Independence's devastating human cost and grim reality.
Öfkeli Kalabalık Üyeleri,Turk,Collaborator,Alın aşağı! Gebertin! Boğazlayın!,1,"Öfkeli Kalabalık Üyeleri are various angry villagers who attack the nationalist group, shouting violent threats and demanding executions.","Öfkeli Kalabalık Üyeleri embody collective popular anger, reflecting public sentiment and contributing to the novel's tense wartime atmosphere."
Hapishane Kapısındaki Köylüler,Turk,Collaborator,"Mehmet Çavuş, beş on kişiye mahbesin kapısını kırıp İhsan'ın işini tamamlamaya teşvik ediyor.",1,"A small group of ten villagers outside the prison gate, whom Mehmet Çavuş tries to incite into executing İhsan.",They represent popular awareness and reaction to events at the prison.
Kocaman Kafalı Esmer Nefer,Turk,Apolitical/unclear,"Kocaman kafalı esmer bir nefer sargıda olan bacağından şikâyet etti, ""Zıkın, zıkın şu bacağımı bir onar!"" diyordu.",1,"Kocaman Kafalı Esmer Nefer is a large-headed, dark-skinned private in the hospital, complaining about his leg, which was kicked by a mule.",Provides descriptive background detail.
Aslan Başlı Esmer Çavuş,Turk,Apolitical/unclear,Hastahanede ayağından ve karnından yaralı bir esmer çavuş daha var. Başı arslana benziyor.,1,"Aslan Başlı Esmer Çavuş is a lion-headed sergeant who is wounded in the leg and abdomen. As he approaches death, he continuously calls out for his sweetheart.","Based on the provided data, the narrative function of Aslan Başlı Esmer Çavuş cannot be determined. No information is available regarding their role or interactions."
Hatice,Turk,Apolitical/unclear,"Su vermek için kaç defa başını kaldırdım, her defasında ""Haticem, Haticem!"" diyor.",1,Hatice is the beloved woman whose name is repeatedly called by the dying esmer çavuş.,Hatice's narrative function cannot be determined from the provided data.
Sert Çavuş,Turk,Nationalist,"Yanında yarasından şikâyet eden nefer olursa tebessümsüz ve ağır sesle: --- Ulan sus, ne zırlıyorsun, askere ayıp değil mi, der.",1,Sert Çavuş is an unnamed sergeant who strictly admonishes other soldiers for complaining about their wounds.,The provided data offers no information to determine Sert Çavuş's narrative function.
Rumelili Nefer,Turk,Nationalist,"Bir tane sarışın, uzun, haşin yüzlü bir Rumelili vardı. Şarkıya o başlıyor...",1,"Rumelili Nefer is a tall, fierce-looking Rumelian soldier who leads the military march with a song.",Insufficient data to determine Rumelili Nefer's narrative function.
Anadolu Uşağı Sancaktar,Turk,Nationalist,Öteki gibi; Anadolu uşağı ve tablo gibi bir sıra neferin arasında.,1,"Anadolu Uşağı Sancaktar is a handsome, strong-limbed Anatolian standard-bearer, carrying the red Turkish flag.",Narrative function undeterminable from provided data.
Bursalı Sancaktar,Turk,Nationalist,"Bursalı, çam ağacı gibi, delikanlı bir sancaktarımız vardı. Metris Tepe'de bizim taburla beraberdi; yanı başımda sancağı kucağında çam gibi devrildi, şehit oldu...",1,"Bursalı Sancaktar was a young, pine-like standard-bearer from Bursa who fell heroically at Metris Tepe.","Based on the provided data, Bursalı Sancaktar's narrative function cannot be determined."
Seyfi'nin Karısı,Turk,Apolitical/unclear,Genç karısı yazıp bana soruyor. Nasıl cevap vereceğim?,1,Seyfi'nin Karısı is Seyfi's young widow who writes to Ayşe inquiring about her husband's fate.,Her narrative function is to identify her as Seyfi's wife.
Topçu Neferi,Turk,Apolitical/unclear,"Bundan sonra gelen bir topçu neferi idi. Yüzünün yukarı kısmı tamamen morarmış, çürümüş...",1,"Topçu Neferi is a wounded artillery private with a completely bruised upper face, who deliriously begs not to be left in the sun.","Represents a generic artillery soldier, populating the military setting."
Münhemik Zabit,Turk,Nationalist,Bir tanesini yatağına koyduktan sonra beni gözleriyle çağırdı. Eğilmemi işaret etti.,1,Münhemik Zabit is a dying nationalist officer who desperately attempts to communicate his last wishes to Ayşe through lip movements.,"Based on the provided data, Münhemik Zabit's exact narrative function cannot be determined."
Kocaman Çocuk Yüzlü Nefer,Turk,Apolitical/unclear,Kocaman çocuk yüzlü bir nefer birdenbire hıçkırarak ağlamaya başladı:,1,Kocaman Çocuk Yüzlü Nefer is a child-faced soldier who weeps because his mother in Istanbul entrusted the deceased officer to him.,He signifies the youth involved in the conflict.
Ölen Zabitin Annesi,Turk,Apolitical/unclear,Anasının bir tanesiydi. İstanbul'da bana emanet etti.,1,"Ölen Zabitin Annesi, the mother of a deceased officer, had entrusted her only son to a soldier in Istanbul.",She personifies the profound personal grief and human cost incurred by the war's casualties.
Kevser,Turk,Apolitical/unclear,Sivaslı olduğunu ve sekiz yaşında Kevser isminde kızını üç çocuğu arasında en çok sevdiğini söyledi.,1,Kevser is the eight-year-old beloved daughter of a wounded soldier from Sivas.,Kevser's narrative function cannot be determined from the provided data.
Ankaralı Nefer,Turk,Apolitical/unclear,zavallının beyni artık kendinin değildi bu Ankaralı bir neferdi:,1,Ankaralı Nefer is a fever-maddened soldier from Ankara who escapes his bed and begs to be sent back to Ankara.,"Based on the provided data, Ankaralı Nefer's exact narrative function cannot be determined as no description or role is detailed."
Zavallı Genç Kadın Hizmetçiler,Turk,Apolitical/unclear,"Zavallı genç kadın hizmetçiler bu şeylerle asapları tamamen gevşemiş, başlarını duvara dayamış, ağlaşıyorlardı.",1,Young female hospital servants whose nerves are completely shattered by the horrors of the wounded soldiers.,"They represent a vulnerable social class, providing contextual realism."
İhsan'ın Akrabaları,Turk,Apolitical/unclear,"Orada bize hiç bahsetmediği akrabaları varmış, herhalde çok neşeli şeyler.",1,İhsan's unnamed relatives residing in Ankara brought him joy and health during his stay there.,Their narrative function cannot be determined from the provided data.
Ethem,Turk,Nationalist,Efe ve Ethem ihtilâfı eski zâbitlerden olan ihtilâlcilere bile orduda azıcık emniyetsiz bir nazar uyandırmış.,1,Ethem is a historical/political rebel figure whose conflict with regular officers caused trust issues within the Nationalist ranks.,The provided data offers no information about Ethem's narrative function in *Ateşten Gömlek*.
Yarasından Şikayet Eden Nefer,Turk,Apolitical/unclear,Yanında yarasından şikâyet eden nefer olursa tebessümsüz ve ağır sesle:,1,Yarasından Şikayet Eden Nefer is a wounded private who is scolded by a sergeant for complaining about his injuries.,"Yarasından Şikayet Eden Nefer embodies the common soldier's physical suffering and the harsh realities of war, adding a layer of realism to the narrative."
Trendeki İhtiyat Zabiti,Turk,Nationalist,"Benimle beraber kompartımanda bir zâbit vekili, üç muvazzaf zâbit vardı.",1,Trendeki İhtiyat Zabiti is a reserve officer who shares a train compartment with Peyami while transporting ammunition to the military.,"This minor character populates the train setting, emphasizing its wartime context and adding verisimilitude to the journey."
Üç Muvazzaf Subay,Turk,Nationalist,"Benimle beraber kompartımanda bir zâbit vekili, üç muvazzaf zâbit vardı.",1,Üç Muvazzaf Subay are three active duty officers who share a train compartment with Peyami while traveling to the front.,"The provided data offers no description, stance, or quotes for Üç Muvazzaf Subay. Consequently, their exact narrative function in Ateşten Gömlek cannot be determined based solely on this information."
İki Süvari,Turk,Nationalist,İstasyonun arkasında iki süvari ile bir atlı zâbit duruyordu.,1,İki Süvari are two mounted soldiers standing at the station behind the train.,The provided data is insufficient to determine their exact narrative function.
Kumandan Paşa,Turk,Nationalist,Şube baş âmiri Kumandan Paşa'nın yanında meşgulmüş...,1,Kumandan Paşa is a military general with whom Peyami's division chief works.,"Based on the provided data, Kumandan Paşa's narrative function cannot be determined."
Genç Yüzbaşılar ve Binbaşılar,Turk,Nationalist,"Harekâtta uzun bir masa etrafında hiç kalkmayan bir genç yüzbaşı ve binbaşı dizisi var ki, onların hiç gölgelenmeyen imanlı genç yüzlerini çok seviyorum.",1,"Genç Yüzbaşılar ve Binbaşılar are a group of young officers who work tirelessly at the operation tables, committed to the national cause.",They represent young officers as a collective.
Xavier de Montépin,Foreigner,Apolitical/unclear,Şoförler uyumadıkları ve kumandan taşımadıkları zamanlar Xavier de Montépin'in romanını okuyorlar.,1,Xavier de Montépin is a foreign French novelist whose books are popular among the drivers at the front.,The provided data offers no information to determine Xavier de Montépin's narrative function in Ateşten Gömlek.
Romandaki Masum Kız,Foreigner,Apolitical/unclear,"Mâsum kız, çeşmânı kebudunu melekâne bir edâ ile Arman'a refederek dilhiraş bir sada ile kelâma ağaz etti,",1,Romandaki Masum Kız is a fictional character from the Xavier de Montépin novel read aloud by the drivers.,Insufficient data to determine function.
Arman,Foreigner,Apolitical/unclear,"Mâsum kız, çeşmânı kebudunu melekâne bir edâ ile Arman'a refederek dilhiraş bir sada ile kelâma ağaz etti,",1,"Arman is a fictional character in Halide Edib's *Ateşten Gömlek*, the novel read by military drivers.","Based on the provided data, Arman's narrative function is unspecified. The data offers no information regarding their role, stance, or description within Ateşten Gömlek."
Yahya Kemal,Turk,Nationalist,"Yahya Kemal'in ""Türk atlıları"" gibi şen geçtik.",1,Yahya Kemal is a famous Turkish poet whose poem 'Turkish Horsemen' is referenced by Peyami.,"Based on the provided data, Yahya Kemal's narrative function cannot be determined as no description or quotes are given."
Asur Kralı Baltazar,Foreigner,Apolitical/unclear,Bunlar Asurîlerin kralı Baltazar'ın sarayında...,1,Assyrian King Belshazzar is mentioned metaphorically in relation to the burning words of war reports.,Narrative function is not determinable from the provided data.
Tatar Kadın,Turk,Apolitical/unclear,"Baş örtüsünü arkasına atmış bir Tatar kadın, bir elinde süt kovası, bir elinde küçük bir mahlûk, bir ahırdan çıkıyordu.",1,"Tatar Kadın is a village woman from the Tatar village, seen carrying a milk bucket and her small child outside a stable.","Based on the provided data, Tatar Kadın's narrative function cannot be determined as no descriptive information or actions are present."
Tatar Kadınının Elindeki Küçük Mahluk,Turk,Apolitical/unclear,"Baş örtüsünü arkasına atmış bir Tatar kadın, bir elinde süt kovası, bir elinde küçük bir mahlûk, bir ahırdan çıkıyordu.",1,**Tatar Kadınının Elindeki Küçük Mahluk:** A tiny child or baby carried in the hand of the Tatar village woman.,The provided data specifies no narrative function.
Posta,Turk,Nationalist,"Seslendim: --- Posta, Erkânıharp Reisi nerede? --- Şu yandan efendim.",1,Posta is an orderly or sentry standing guard in front of an illuminated village house who points out İhsan's office to Peyami.,"Based on the provided data, Posta's narrative function in Ateşten Gömlek cannot be determined. The character lacks any descriptive or quoted information necessary for assessment."
...’inci Alay Kumandanı,Turk,Nationalist,...'inci Alay'ın kumandanı şehit oldu.,1,"The previous commander of the regiment was recently killed in battle, creating the vacancy İhsan requested.","Based on the provided data, this character's exact narrative function cannot be determined beyond their implied role as a military regimental commander."
Genç Zabitler,Turk,Nationalist,Sonra celb ettiği genç zâbitlere bazı emirler verdi.,1,Genç Zabitler are a group of young officers summoned by İhsan to receive their final instructions before his departure.,Narrative function cannot be determined from the provided data.
İhsan'ın Halefi,Turk,Nationalist,Ben de evrakı yarın sabah halefime teslim edebilmek için çalışıyordum.,1,"An incoming military officer, he is set to replace İhsan as Chief of Staff the following morning.","İhsan'ın Halefi replaces İhsan, continuing his narrative role."
Gözetleme Dürbünü Siperindeki İki Haki Gölge,Turk,Nationalist,Önümüzdeki tarassut dürbününün derin siperinde iki hâkî gölge ayakta duruyordu.,1,Two khaki-clad soldiers serving as lookouts or guards inside the deep trench at the mountain observation post.,"These ""shadows"" depict a watchful military presence, establishing the wartime setting and atmosphere of surveillance."
Laz Askerleri,Turk,Nationalist,On kişilik bir nim muntazam Laz kuvvetiyle bana merbuttu.,1,"Laz Askerleri are a small, semi-regular detachment of ten Laz soldiers commanded by Ahmed Rıfkı.","Based on the provided data, Laz Askerleri's exact narrative function is not detailed."
Ahmet Rıfkı'yı Öldüren Çerkesler,Turk,Apolitical/unclear,Sonra o zavallıyı Hendek yolunda Çerkesler öldürdüğü zaman...,1,Circassian rebels or bandits who ambushed and killed Lieutenant Ahmed Rıfkı on the Hendek road.,"They kill Ahmet Rıfkı, serving as the perpetrators of a pivotal narrative event."
Ahmet Rıfkı'nın Naaşını Getiren Arkadaşları,Turk,Nationalist,arkadaşlar onu sedyenin yanında ağlayarak getirirken iki hissin tesiri altında idim.,1,"Ahmed Rıfkı'nın grieving fellow soldiers who, weeping, carried his dead body back on a stretcher.","They deliver Ahmet Rıfkı's corpse, concretizing his death as a tangible event within the narrative."
Uzak Dağların Zirvelerindeki Arkadaşlar,Turk,Nationalist,"Telefonu aldı, bu muhtelif, ıssız, uzak dağların bize ait zirvelerindeki arkadaşlarla konuştu.",1,Uzak Dağların Zirvelerindeki Arkadaşlar are Turkish military personnel stationed on other remote mountain peaks whom İhsan contacts by phone from the observation post.,Its narrative function cannot be determined from the provided data.
İhsan'ın Çadırında Tanıdığı Kızlar,Turk,Apolitical/unclear,"Ne kadar yeşil gözlü, ateşli kavî kızlar tanıdım.",1,"Passionate, green-eyed local women İhsan consorted with in his tent during a brief period of heavy drinking to extinguish his longing for Ayşe.",Function indiscernible from provided data.
Eskişehir'deki Doktor,Turk,Nationalist,"Ayşe ile konuşurken, doktorun sesini dinlerken hâlâ içimden bunun bir cennet",1,A physician at the Eskişehir hospital who treated İhsan. İhsan heard his voice upon waking up to Ayşe's nursing.,Provided data reveals no narrative function.
İlk Türk Fırkası,Turk,Nationalist,İzmir'in sokaklarında boru çalarak ilk yürüyecek Türk fırkasını tahayyül ediyorduk.,1,"The idealized first Turkish division, expected to march triumphantly into liberated Izmir.",It contextualizes the nascent Turkish nationalist political organization during the War of Independence.
"İhsan'ın Amcazadesinin Şen, Güzel Kızları",Turk,Apolitical/unclear,"amcazademin şen, güzel kızlarıyla kırlarda dolaşıyor",1,Lively and attractive daughters of İhsan's cousin with whom he walked in the Ankara countryside.,The provided data does not specify their narrative function.
İhsan'ın Kompartımandaki Genç Arkadaşları,Turk,Nationalist,Bana ve yanımdaki genç arkadaşlara üçüncüden bir kompartıman hazırlamışlardı.,1,Young Turkish travelers or officers sharing a third-class train compartment with İhsan on the journey from Ankara.,They function as İhsan's companions in the compartment.
Açık Hikâye Nakleden Genç Arkadaş,Turk,Nationalist,Sincan İstasyonu'nu geçtikten sonra gençlerden biri oldukça açık bir hikâye nakletmeye başladı.,1,A young man on the train who begins telling a risqué or inappropriate story after passing Sincan.,Provides clear story exposition.
Ciddi Yüzlü Arkadaş,Turk,Nationalist,Yanımda ciddî yüzlü bir arkadaş parmağını dudaklarına götürerek sükût işareti yaptı,1,Ciddi Yüzlü Arkadaş is a serious-looking passenger in the compartment who motions for silence out of respect for the nurse traveling next door.,The provided data offers no information to determine Ciddi Yüzlü Arkadaş's exact narrative function.
Mavi Gözlü Genç Binbaşı,Turk,Nationalist,bir genç binbaşı getirdi. Galiba İzmirli imiş,1,"Mavi Gözlü Genç Binbaşı is a tall, blue-eyed officer rumored to be from Izmir, who escorted Ayşe to her train compartment.","Based on the provided data, the narrative function of Mavi Gözlü Genç Binbaşı cannot be determined."
İhsan'ın Neferi,Turk,Nationalist,Neferi Ayşe'nin kompartımanına gönderdim.,1,An orderly sent by İhsan at Mallı station to verify if the nurse in the neighboring train car was Ayşe.,"""İhsan'ın Neferi"" represents a soldier under İhsan, affirming İhsan's command and military presence."
İstasyondaki Muhacir Çocukları,Turk,Apolitical/unclear,"İstasyonda muhacir çocukları vardı, bir tanesi...",1,**İstasyondaki Muhacir Çocukları:** Displaced refugee children at the train station whose plight brought Ayşe to tears.,"Based on the provided data, their exact narrative function cannot be determined."
İhsan'ın Arkasındaki Süvarilerden Biri,Turk,Nationalist,arkamdaki süvarilerden birine seyyarın yerini öğrenmesini,1,"A cavalryman riding behind İhsan, ordered by İhsan to locate the field hospital.","A generic member of İhsan's cavalry, contributing to the collective presence of his military retinue."
Çavuş,Turk,Nationalist,Çavuş odanın kapısını açınca karşımda kütükleri,1,Çavuş is a sergeant who opens the door of Haşmet Bey's warm headquarters to allow İhsan inside.,The provided data does not specify Çavuş's narrative function.
Sıhhiye Neferleri,Turk,Nationalist,elinde fenerlerle beyaz gömlekli sıhhiye neferleri,1,Sıhhiye Neferleri are Turkish military medical orderlies who carry lanterns and attend to the wounded in the rain-swept streets of Haymana.,"Based solely on their name, Sıhhiye Neferleri's narrative function is to represent medical personnel or the provision of medical aid within the story."
Haymana'daki Doktorlar,Turk,Nationalist,"emir veren, koşuşan doktorlar vardı.",1,"Medical personnel in Haymana ran through its muddy streets, issuing hurried orders to manage the incoming stream of casualties.","They treat the main character, Ayşe, for her war injuries in Haymana."
Yaralı Alay ve Tabur Kumandanları,Turk,Nationalist,Bizim kolordudan birçok alay ve tabur kumandanı yaralanmıştı.,1,Injured Turkish field officers of the corps from the brutal fighting around Seyitgazi.,They symbolize the war's human cost and the sacrifice endured by military leadership.
Sedyeciler,Turk,Nationalist,sedyeciler mütemadiyen sedye bırakıp sedye kaldırıyorlar.,1,Sedyeciler are military stretcher-bearers working frantically to transport casualties inside the makeshift hospital set up in the Haymana Mosque.,"Sedyeciler (stretcher bearers) physically move wounded characters, advancing the plot and underscoring the brutal reality of war."
Mihrabın Yanındaki Yaralı Nefer,Turk,Nationalist,"Zavallı, bir boğa gibi ıstırabından haykırıyor: --- Aman bacım, ayağını öpem bacım!",1,"**Mihrabın Yanındaki Yaralı Nefer**
A badly wounded Turkish private, he lies on his stomach in the mosque, shouting in pain as Ayşe dresses his waist wound.",The character's name establishes a conflict-ridden sacred setting and illustrates war's immediate human cost.
Ayşe ile Pansuman Yapan Doktor,Turk,Nationalist,yüzükoyun yatan bir neferin belindeki yaraya doktorla beraber pansuman yapıyor.,1,Ayşe ile Pansuman Yapan Doktor is a Turkish doctor working directly alongside Nurse Ayşe inside the crowded mosque in Haymana.,To dress wounds with Ayşe.
İki Gözünden Yaralı Zabit,Turk,Nationalist,Bunu ayakta iki nefere dayanmış iki gözünden yaralı bir zâbit söylüyor.,1,"İki Gözünden Yaralı Zabit is an officer, blinded by battle wounds, who cries out in intense pain, requesting his dressings be changed.",This character embodies the devastating human cost of war.
Gözünden Yaralı Zabite Dayanan İki Nefer,Turk,Nationalist,Bunu ayakta iki nefere dayanmış,1,Two unnamed soldiers who physically support the blinded Turkish officer as he waits for medical attention.,"They physically support a wounded officer, highlighting the war's human cost."
Kocaman Başındaki Başlığı Düzeltilen Hemşehri,Turk,Nationalist,Ayşe önündeki neferin üstüne bir battaniye çekiyor,1,Kocaman Başındaki Başlığı Düzeltilen Hemşehri is a patient with a large head bandage whom Ayşe covers with a blanket and prepares to have loaded onto a transport cart.,"This character functions as an observed background detail, representing a member of the general populace."
Mülazim Selim,Turk,Nationalist,Takım Kumandanı Mülâzim Selim'de.,1,Mülazim Selim was a platoon commander who took charge of Ahmed Selim's battalion after his superior was wounded.,His narrative function cannot be determined from the provided data.
Dışarıdan Bağıran Gür Sesli Adam,Turk,Nationalist,Camiin ötesinden gür bir ses haykırdı: --- Pansumanları daha çabuk yapmalı,1,"Dışarıdan Bağıran Gür Sesli Adam is an authoritative voice heard calling from the rain outside, instructing medical staff to work faster to clear patients waiting in the storm.",Its loud shout from outside signals external events to the immediate scene.
Ayşe'nin Başında Durduğu Genç Nefer,Turk,Nationalist,Yolunun üstünde çocuk sayılacak bir genç nefer yatıyordu.,1,"A pale, silent, teenage soldier whom Ayşe briefly stops to comfort and adjust his blankets as she runs through the mosque.","This minor character functions as a casualty Ayşe tends, establishing her nursing role and illustrating the war's human toll."
Seyyar Hastanedeki Hademe Kadın,Turk,Apolitical/unclear,seyyarın yanındaki küçük çadırdan bir hademe kadın çıktı.,1,A female hospital worker who emerges from a small tent near the field hospital and informs İhsan that Ayşe is inside.,"She functions as a background detail, lending realism to the mobile hospital setting as part of its essential, unseen workforce."
İstanbullu Müezzin,Turk,Apolitical/unclear,"Köyün minaresinden, İstanbullu olduğuna kani olduğum bir ses hasretle, ıztırâbla dolu bir yatsı ezanı okuyordu.",1,"A religious caller whose nostalgic, emotional recitation of the night prayer moves both İhsan and Ayşe to tears.","The İstanbullu Müezzin provides background detail and verisimilitude through their named profession and origin, without direct plot involvement based on the provided data."
Dev Süvari Çavuşu,Turk,Nationalist,dev vücutlu süvari çavuşu ile meşgul oldu.,1,Dev Süvari Çavuşu is an imposing Turkish sergeant who receives orders directly from İhsan before the start of the battle.,The provided data is insufficient to determine Dev Süvari Çavuşu's exact narrative function. Only the character's name is supplied.
Bacağı Ağrıyan Yaralı Asker,Turk,Apolitical/unclear,Bacağım ufruluyor. Tohtor ne zaman gelecek?,1,"Bacağı Ağrıyan Yaralı Asker is an unnamed Turkish soldier in the medical tent, crying out due to severe leg pain.","He embodies the common, tangible suffering of war."
Limon İsteyen Asker,Turk,Apolitical/unclear,"Ah bir limon iletemez misin, bacım?",1,An unnamed patient in Ayşe's tent who pleads for a lemon to soothe his pain.,The character illustrates the specific human discomforts and harsh realities soldiers endured during wartime.
Vatansever Yaralı Asker,Turk,Nationalist,"Senin için ey sancağımız, ölürüz de vermeyiz.",1,"Vatansever Yaralı Asker, a wounded soldier, expresses enduring loyalty and readiness to die for the Turkish flag.",The Vatansever Yaralı Asker embodies the Turkish nation's wartime sacrifice and patriotism.
Ayşe'nin Yardım Ettiği Yaralı Asker,Turk,Nationalist,Sonra yolda yaralı bir neferin yarasını sararken vuruldu.,1,A wounded infantryman Ayşe was treating on the battlefield when she was struck and killed by shrapnel.,He exists solely to provide an opportunity for Ayşe to demonstrate her compassionate nature and nursing skills.
Andersen,Foreigner,Apolitical/unclear,Andersen'in masalında bir oyuncak teneke asker vardır.,1,"Hans Christian Andersen is the famous Danish author whose fairy tale, ""The Tin Soldier,"" is metaphorically referenced by Peyami.","Based solely on the provided data, Andersen's exact narrative function cannot be determined as no descriptive information or context is available."
Longfellow,Foreigner,Apolitical/unclear,Longfellow'un bir masalını söylüyorlar.,1,Henry Wadsworth Longfellow is an American poet referenced by Peyami in relation to a story of a young clerk and a brave soldier loving the same woman.,The provided data offers no information on Longfellow's narrative function.
Cemal'in Kız Kardeşi,Turk,Apolitical/unclear,"Cemal'in bir de kız kardeşi varmış, fakat kimse ne ismini ne de ne olduğunu biliyor.",1,Cemal'in Kız Kardeşi is Cemal's sister; her name and current whereabouts are entirely unknown to any archives or acquaintances.,Her narrative function cannot be determined from the provided data.
